# ---------------------------------------- 
# Pages
# 20200105-20200111
# ----------------------------------------

Page,Country,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/resources/340,Ukraine,11,6,00:00:00,10,27.37%,0.82%,$0.20
/resources/345,Netherlands,3,3,00:05:13,2,76.13%,0.66%,$0.21
/resources/345,France,39,34,00:00:00,37,19.94%,99.14%,$0.22
/resources/348,Australia,26,25,00:14:44,25,31.60%,96.96%,$0.23
/resources/348,Denmark,4,3,00:00:00,1,66.68%,1.35%,$0.24
/resources/348,Slovakia,20,17,00:00:05,12,88.94%,69.96%,$0.25
/resources/348,Hungary,1,1,00:05:11,0,20.73%,37.74%,$0.26
/resources/348,Poland,36,34,00:18:41,31,96.90%,69.21%,$0.27
/resources/348,Spain,9,8,00:00:00,1,68.57%,12.05%,$0.28
/resources/348,United States,19,16,00:06:34,16,2.29%,90.06%,$0.29
/resources/350,Poland,6,1,00:00:00,6,44.77%,50.62%,$0.30
/resources/350,Australia,30,27,00:11:17,26,21.39%,34.19%,$0.31
/resources/350,(not set),28,25,00:00:00,22,19.16%,13.59%,$0.32
/resources/350,Switzerland,7,2,00:00:39,5,56.75%,2.35%,$0.33
/resources/360,Indonesia,29,28,00:11:52,27,26.21%,70.55%,$0.34
/resources/360,Greece,23,21,00:00:13,23,50.07%,65.94%,$0.35
/resources/361,Azerbaijan,33,32,00:00:00,29,31.99%,17.12%,$0.36
/resources/363,Bangladesh,26,24,00:13:31,19,8.11%,10.01%,$0.37
/resources/370,Canada,14,11,00:13:31,10,80.27%,30.87%,$0.38
/resources/370,Madagascar,32,32,00:00:00,32,44.99%,24.11%,$0.39
/resources/379,Canada,36,34,00:00:00,28,89.19%,17.38%,$0.40
/resources/379,Japan,33,28,00:00:00,25,90.72%,77.30%,$0.41
/resources/379,Cameroon,23,23,00:00:13,17,15.51%,64.47%,$0.42
/resources/380,Australia,6,5,00:14:22,2,36.46%,59.60%,$0.43
/resources/384,Taiwan,37,33,00:00:00,29,70.32%,28.85%,$0.44
/resources/384,United Kingdom,16,15,00:00:00,13,27.67%,84.92%,$0.45
/resources/384,Belgium,6,4,00:00:08,2,4.01%,50.28%,$0.46
/resources/385,(not set),13,10,00:00:00,13,75.88%,67.98%,$0.47
/resources/385,Finland,35,35,00:00:00,28,46.38%,72.76%,$0.48
/resources/387,Mexico,5,4,00:12:12,0,0.57%,68.30%,$0.49
/resources/389,United Kingdom,26,25,00:03:20,18,35.05%,49.88%,$0.50
/resources/389,Belgium,13,12,00:00:00,6,32.44%,44.85%,$0.51
/resources/392,Sweden,39,39,00:00:00,36,32.39%,41.69%,$0.52
/resources/395,Mexico,38,33,00:00:00,36,5.45%,40.22%,$0.53
/resources/406,Netherlands,24,20,00:03:31,17,46.11%,4.40%,$0.54
/resources/412,Sweden,38,34,00:05:13,33,51.52%,27.93%,$0.55
/resources/419,Finland,7,2,00:02:06,1,35.88%,27.63%,$0.56
/resources/419,United States,11,7,00:14:44,10,93.27%,92.40%,$0.57
/resources/419,Taiwan,20,19,00:02:06,20,32.15%,34.88%,$0.58
/resources/419,Poland,37,37,00:13:53,36,47.23%,44.69%,$0.59
/resources/419,India,35,33,00:06:35,32,79.56%,2.44%,$0.60
/resources/419,Bangladesh,31,31,00:00:08,26,41.26%,25.02%,$0.61
/resources/420,Azerbaijan,35,30,00:00:00,35,7.25%,23.83%,$0.62
/resources/423,Austria,33,29,00:01:23,28,53.06%,6.17%,$0.63
/resources/423,Canada,37,32,00:01:07,33,50.36%,12.69%,$0.64
/resources/433,Bangladesh,25,25,00:10:51,21,8.00%,93.05%,$0.65
/resources/436,France,17,16,00:00:07,10,69.07%,61.21%,$0.66
/resources/436,Ukraine,13,11,00:00:00,9,29.10%,96.19%,$0.67
/resources/439,United Kingdom,23,19,00:13:53,21,52.94%,65.74%,$0.68
/resources/439,Serbia,22,18,00:18:41,22,50.46%,51.92%,$0.69
/resources/445,Spain,38,35,00:00:03,37,95.79%,49.87%,$0.70
/resources/448,Ireland,39,37,00:00:00,34,96.08%,1.14%,$0.71
/resources/457,Bulgaria,33,30,00:00:00,33,99.82%,92.74%,$0.72
/resources/458,Taiwan,3,1,00:07:57,2,80.45%,46.15%,$0.73
/resources/458,Slovakia,40,35,00:00:31,39,10.15%,43.24%,$0.74
/resources/465,Bangladesh,1,1,00:20:21,1,97.66%,99.69%,$0.75
/resources/465,(not set),28,26,00:00:00,26,83.47%,93.72%,$0.76

Month Index,Pageviews
0000,387
,387
